fat_unit,categories,off:food_groups_tags,nutrition_data_prepared_per,countries,categories_tags,sugars_value,proteins_value,proteins_unit,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_data.adjustments.origins_of_ingredients.value,saturated-fat_value,off:ecoscore_score,salt_value,carbohydrates_unit,off:food_groups,energy-kcal_value,brands,data_sources,nutrition_data_per,off:ecoscore_data.agribalyse.code,off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials,obsolete,sugars_unit,off:ecoscore_grade,carbohydrates_value,energy_unit,off:ecoscore_data.adjustments.production_system.value,off:nova_groups_tags,countries_tags,energy-kcal_unit,sodium_unit,code,fat_value,saturated-fat_unit,energy_value,lc,sodium_value,brands_tags,salt_unit,off:ecoscore_data.adjustments.packaging.value
g,"Getränke und Getränkezubereitungen, Getränke, Kohlensäurehaltige Getränke, Erfrischungsgetränke, Alkoholfreie Getränke, Cola, Gezuckerte Getränke","en:beverages,en:sweetened-beverages",100g,Austria,"en:beverages-and-beverages-preparations,en:beverages,en:carbonated-drinks,en:sodas,en:non-alcoholic-beverages,en:colas,en:sweetened-beverages",11.2,0.0,g,e,15.0,-5,0.0,0.0,0.0,g,en:sweetened-beverages,45.0,Coca Cola,"Scanparty - Rotterdam - 2019-04, Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts, App - macrofactor",100g,0.0,0,0,g,not-applicable,11.2,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:austria,en:belgium,en:bulgaria,en:croatia,en:france,en:germany,en:hungary,en:morocco,en:poland,en:romania,en:serbia,en:spain,en:switzerland,en:united-kingdom",kcal,g,54491472,0.0,g,190.0,de,0.0,coca-cola,g,-5
g,"Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Substituts de produits laitiers, Substituts du lait, Fruits à coques et dérivés, Boissons à base de végétaux, Boissons végétales, Boissons végétales de fruits à coque, Laits d'amande","en:beverages,en:plant-based-milk-substitutes",100g,Austria,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks",0.0,0.4,g,b,0.0,-3,0.1,61.0,0.14,g,en:plant-based-milk-substitutes,13.0,Alpro,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts, App - mon-coach-ig-bas, App - macrofactor",100g,18107.0,0,0,g,b,0.0,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:albania,en:austria,en:belgium,en:croatia,en:finland,en:france,en:germany,en:greece,en:hungary,en:ireland,en:luxembourg,en:netherlands,en:norway,en:poland,en:portugal,en:reunion,en:romania,en:spain,en:sweden,en:switzerland,en:united-kingdom",kcal,g,5411188112709,1.1,g,56.0,fr,0.056,alpro,g,-15
g,"Bebidas y preparaciones de bebidas, Bebidas, Bebidas carbonatadas, Bebidas endulzadas artificialmente, Sodas, Bebidas light, Bebidas de cola, Sodas light, Bebida de cola light","en:beverages,en:artificially-sweetened-beverages",100g,Austria,"en:beverages-and-beverages-preparations,en:beverages,en:carbonated-drinks,en:artificially-sweetened-beverages,en:sodas,en:diet-beverages,en:colas,en:diet-sodas,en:diet-cola-soft-drink",0.0,0.0,g,b,1.0,-5,0.0,0.0,0.02,g,en:artificially-sweetened-beverages,0.2,Coca-Cola,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts",100g,0.0,0,0,g,not-applicable,0.0,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:austria,en:belgium,en:france,en:germany,en:guernsey,en:hungary,en:italy,en:morocco,en:romania,en:serbia,en:spain,en:switzerland,en:tunisia,en:united-kingdom",kcal,g,5449000131836,0.0,g,0.9,es,0.008,coca-cola,g,-7
g,"Beverages, Carbonated drinks, Sodas, Colas, Cola with sugar, Sweetened beverages, pl:gazowane","en:beverages,en:sweetened-beverages",100g,Austria,"en:beverages,en:carbonated-drinks,en:sodas,en:colas,en:cola-with-sugar,en:sweetened-beverages,pl:gazowane",10.6,0.0,g,e,14.0,-5,0.0,0.0,0.01,g,en:sweetened-beverages,42.0,Coca-Cola,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - IsVe, App - halal-healthy, App - smoothie-openfoodfacts",100g,0.0,0,0,g,not-applicable,10.6,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:algeria,en:austria,en:belgium,en:democratic-republic-of-the-congo,en:france,en:germany,en:italy,en:morocco,en:poland,en:reunion,en:sweden,en:switzerland,en:tunisia,en:ukraine,en:united-kingdom",kcal,g,5449000000439,0.0,g,180.0,en,0.004,coca-cola,g,-8
g,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Coconut-based drinks","en:beverages,en:plant-based-milk-substitutes",100g,Austria,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:coconut-based-drinks",1.9,0.1,g,b,0.0,-5,0.9,42.0,0.13,g,en:plant-based-milk-substitutes,20.0,Alpro,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - off, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts",100g,18907.0,0,0,g,c,2.7,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:austria,en:belgium,en:bulgaria,en:czech-republic,en:france,en:germany,en:hungary,en:italy,en:luxembourg,en:morocco,en:netherlands,en:poland,en:portugal,en:romania,en:slovakia,en:sweden,en:switzerland",kcal,g,5411188116592,0.9,g,85.0,en,0.052,alpro,g,-4
g,"Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Légumineuses et dérivés, Substituts de produits laitiers, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Boissons végétales de légumineuses, Boissons végétales de soja, Boissons de soja nature sucrées, Boissons de soja nature non sucrées","en:beverages,en:plant-based-milk-substitutes",100g,Austria,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:legume-based-drinks,en:soy-based-drinks,en:sweetened-plain-soy-based-drinks,en:unsweetened-plain-soy-based-drinks",2.5,3.0,g,a,-1.0,-3,0.3,81.0,0.09,g,en:plant-based-milk-substitutes,39.0,Alpro,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - ethic-advisor, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts",100g,18900.0,0,0,g,a,2.5,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:austria,en:belgium,en:france,en:germany,en:norway,en:switzerland",kcal,g,5411188115472,1.8,g,163.0,fr,0.036,alpro,g,-5
g,"Pflanzliche Lebensmittel und Getränke, Getränke, en:Dairy substitutes, Milchersatz, Pflanzliche Getränke, Pflanzenmilch, en:Mixed plant milks","en:beverages,en:plant-based-milk-substitutes",100g,Austria,"en:plant-based-foods-and-beverages,en:beverages,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:mixed-plant-milks",1.9,0.1,g,b,1.0,-5,1.2,0.0,0.1,g,en:plant-based-milk-substitutes,23.0,"Vemondo,Lidl,Grønvang Food ApS","App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts",100g,0.0,0,0,g,unknown,2.7,kJ,15,en:4-ultra-processed-food-and-drink-products,"en:austria,en:belgium,en:france,en:germany,en:hungary,en:romania,en:united-kingdom",kcal,g,4056489244707,1.3,g,97.0,de,0.04,"vemondo,lidl,grønvang-food-aps",g,-5
g,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks","en:beverages,en:plant-based-milk-substitutes",100g,Austria,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks",0.0,0.7,g,unknown,0.0,-5,0.4,63.0,0.03,g,en:plant-based-milk-substitutes,59.0,Alpro,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts, App - macrofactor",100g,18905.0,0,0,Unknown,b,5.7,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:austria,en:belgium,en:czech-republic,en:germany,en:hungary,en:netherlands,en:switzerland",kcal,g,5411188134985,3.5,g,247.0,en,0.012,alpro,g,-4
g,"Beverages and beverages preparations, Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Non-alcoholic beverages, Energy drinks","en:beverages,en:sweetened-beverages",100g,Austria,"en:beverages-and-beverages-preparations,en:beverages,en:carbonated-drinks,en:artificially-sweetened-beverages,en:sodas,en:non-alcoholic-beverages,en:energy-drinks",0.0,0.0,g,b,1.0,4,0.0,0.0,0.00025,g,en:sweetened-beverages,6.0,Red Bull,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - InFood, App - Speisekammer, App - smoothie-openfoodfacts, App - macrofactor",serving,0.0,0,0,g,not-applicable,0.0,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:australia,en:austria,en:belgium,en:france,en:germany,en:ireland,en:italy,en:new-zealand,en:spain,en:switzerland,en:united-kingdom",kcal,g,90162800,0.0,g,25.0,en,0.0001,red-bull,g,-3
g,"Beverages and beverages preparations, Beverages, Carbonated drinks, Sodas, Colas, Cola with sugar, Sweetened beverages","en:beverages,en:sweetened-beverages",100g,Austria,"en:beverages-and-beverages-preparations,en:beverages,en:carbonated-drinks,en:sodas,en:colas,en:cola-with-sugar,en:sweetened-beverages",10.6,0.0,g,e,14.0,-5,0.0,0.0,0.0,g,en:sweetened-beverages,42.0,Coca-Cola,"App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts, App - macrofactor",100g,0.0,0,0,g,not-applicable,10.6,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:austria,en:czech-republic,en:france,en:germany,en:hungary,en:iraq,en:poland,en:portugal,en:slovakia,en:united-kingdom",kcal,g,5449000130389,0.0,g,180.0,en,0.0,coca-cola,g,-6
