fat_unit,categories,off:food_groups_tags,nutrition_data_prepared_per,countries,categories_tags,sugars_value,proteins_value,proteins_unit,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_data.adjustments.origins_of_ingredients.value,saturated-fat_value,off:ecoscore_score,salt_value,carbohydrates_unit,off:food_groups,energy-kcal_value,brands,data_sources,nutrition_data_per,off:ecoscore_data.agribalyse.code,off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials,obsolete,sugars_unit,off:ecoscore_grade,carbohydrates_value,energy_unit,off:ecoscore_data.adjustments.production_system.value,off:nova_groups_tags,countries_tags,energy-kcal_unit,sodium_unit,code,fat_value,saturated-fat_unit,energy_value,lc,sodium_value,brands_tags,salt_unit,off:ecoscore_data.adjustments.packaging.value
g,"Boissons, Boissons gazeuses, Sodas, Boissons gazeuses sans jus de fruit, Sodas au cola, Boissons gazeuses sucrées sans jus de fruit, Boissons avec sucre ajouté","en:beverages,en:sweetened-beverages",100g,Germany,"en:beverages,en:carbonated-drinks,en:sodas,en:carbonated-soft-drinks-without-fruit-juice,en:colas,en:carbonated-soft-drinks-without-fruit-juice-with-sugar,en:sweetened-beverages",10.6,0.0,g,e,14.0,-5,0.0,0.0,0.0,g,en:sweetened-beverages,42.0,Coca cola,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - foodwasteieee",100g,Unknown,0,0,g,not-applicable,10.6,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:belgium,en:france,en:germany,en:hungary,en:italy,en:serbia,en:spain,en:switzerland",kcal,g,5449000214911,0.0,g,180.0,fr,0.0,coca-cola,g,-3
g,"Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Boissons sans alcool, Sodas au cola, Sodas light, Sodas au cola light","en:beverages,en:artificially-sweetened-beverages",100g,Germany,"en:beverages,en:carbonated-drinks,en:artificially-sweetened-beverages,en:sodas,en:diet-beverages,en:non-alcoholic-beverages,en:colas,en:diet-sodas,en:diet-cola-soft-drink",0.0,0.0,g,b,1.0,-5,0.0,0.0,0.02,g,en:artificially-sweetened-beverages,0.3,Coca-Cola,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-smoothie, App - smoothie-openfoodfacts, App - Speisekammer",100g,Unknown,0,0,g,not-applicable,0.0,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:belgium,en:france,en:germany,en:hungary,en:italy,en:spain,en:switzerland,en:united-states",kcal,g,5449000214799,0.0,g,1.4,fr,0.008,coca-cola,g,-3
g,"Getränke und Getränkezubereitungen, Getränke, Kohlensäurehaltige Getränke, Erfrischungsgetränke, Alkoholfreie Getränke, Cola, Gezuckerte Getränke","en:beverages,en:sweetened-beverages",100g,Germany,"en:beverages-and-beverages-preparations,en:beverages,en:carbonated-drinks,en:sodas,en:non-alcoholic-beverages,en:colas,en:sweetened-beverages",11.2,0.0,g,e,15.0,-5,0.0,0.0,0.0,g,en:sweetened-beverages,45.0,Coca Cola,"Scanparty - Rotterdam - 2019-04, Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts, App - macrofactor",100g,Unknown,0,0,g,not-applicable,11.2,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:austria,en:belgium,en:bulgaria,en:croatia,en:france,en:germany,en:hungary,en:morocco,en:poland,en:romania,en:serbia,en:spain,en:switzerland,en:united-kingdom",kcal,g,54491472,0.0,g,190.0,de,0.0,coca-cola,g,-5
g,"Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Substituts de produits laitiers, Substituts du lait, Fruits à coques et dérivés, Boissons à base de végétaux, Boissons végétales, Boissons végétales de fruits à coque, Laits d'amande","en:beverages,en:plant-based-milk-substitutes",100g,Germany,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:almond-based-drinks",0.0,0.4,g,b,0.0,-3,0.1,61.0,0.14,g,en:plant-based-milk-substitutes,13.0,Alpro,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts, App - mon-coach-ig-bas, App - macrofactor",100g,18107,0,0,g,b,0.0,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:albania,en:austria,en:belgium,en:croatia,en:finland,en:france,en:germany,en:greece,en:hungary,en:ireland,en:luxembourg,en:netherlands,en:norway,en:poland,en:portugal,en:reunion,en:romania,en:spain,en:sweden,en:switzerland,en:united-kingdom",kcal,g,5411188112709,1.1,g,56.0,fr,0.056,alpro,g,-15
g,"Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Colas, Diet sodas, Diet cola soft drink","en:beverages,en:artificially-sweetened-beverages",100g,Germany,"en:beverages,en:carbonated-drinks,en:artificially-sweetened-beverages,en:sodas,en:diet-beverages,en:colas,en:diet-sodas,en:diet-cola-soft-drink",0.0,0.0,g,b,1.0,-5,0.0,0.0,0.02,g,en:artificially-sweetened-beverages,0.2,Coca-Cola,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, app-elcoco, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts",100g,Unknown,0,0,g,not-applicable,0.0,kJ,0,en:4-ultra-processed-food-and-drink-products,en:spain,kcal,g,5449000131805,0.0,g,0.9,en,0.008,coca-cola,g,-3
g,"Getränke und Getränkezubereitungen, Pflanzliche Lebensmittel und Getränke, Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, en:Dairy substitutes, Getreideprodukte, Milchersatz, Pflanzliche Getränke, Pflanzenmilch, Getreidemilch, Hafermilch","en:beverages,en:plant-based-milk-substitutes",100g,Germany,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks",0.0,0.2,g,a,-1.0,-5,0.2,62.0,0.09,g,en:plant-based-milk-substitutes,40.0,Alpro,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts, App - halal-healthy",100g,18905,0,0,g,b,5.6,kJ,0,en:4-ultra-processed-food-and-drink-products,en:spain,kcal,g,5411188124689,1.5,g,169.0,de,0.036,alpro,g,-5
g,"Bebidas y preparaciones de bebidas, Bebidas, Bebidas carbonatadas, Bebidas endulzadas artificialmente, Sodas, Bebidas light, Bebidas de cola, Sodas light, Bebida de cola light","en:beverages,en:artificially-sweetened-beverages",100g,Germany,"en:beverages-and-beverages-preparations,en:beverages,en:carbonated-drinks,en:artificially-sweetened-beverages,en:sodas,en:diet-beverages,en:colas,en:diet-sodas,en:diet-cola-soft-drink",0.0,0.0,g,b,1.0,-5,0.0,0.0,0.02,g,en:artificially-sweetened-beverages,0.2,Coca-Cola,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts",100g,Unknown,0,0,g,not-applicable,0.0,kJ,0,en:4-ultra-processed-food-and-drink-products,"en:austria,en:belgium,en:france,en:germany,en:guernsey,en:hungary,en:italy,en:morocco,en:romania,en:serbia,en:spain,en:switzerland,en:tunisia,en:united-kingdom",kcal,g,5449000131836,0.0,g,0.9,es,0.008,coca-cola,g,-7
g,"Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Préparations pour boissons, Boissons instantanées, Chicorée et café en poudre soluble",Unknown,100g,Germany,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:beverage-preparations,en:instant-beverages,en:instant-mix-of-chicory-and-coffee-powder",9.1,2.7,g,e,12.0,-2,0.1,-7.0,0.23,g,Unknown,141.0,"Nestlé,Ricore","Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, Producers, Producer - nestle-france, Database - Equadis, Database - GDSN, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - mon-coach-ig-bas",100g,18150,0,0,g,e,9.1,kJ,10,en:1-unprocessed-or-minimally-processed-foods,"en:belgium,en:france,en:morocco,en:spain,en:switzerland",kcal,g,3033710073467,0.5,g,577.0,fr,0.092,"nestle,ricore",g,-15
g,"Boissons, Cacao et dérivés, Cacaos et chocolats en poudre, Boissons instantanées, Cacaos en poudre, Chocolats en poudre, Poudre maltée cacaotée",Unknown,100g,Germany,"en:beverages,en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:instant-beverages,en:cocoa-powders,en:chocolate-powders,en:malted-cocoa",75.1,5.1,g,b,1.0,-5,1.6,46.0,0.41,g,Unknown,386.0,"Nestlé,Nesquik","Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, Producers, Producer - nestle-france, Database - Equadis, Database - GDSN, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts",100g,18104,1,0,g,c,78.9,kJ,10,en:4-ultra-processed-food-and-drink-products,"en:algeria,en:belgium,en:france,en:french-guiana,en:french-polynesia,en:germany,en:guadeloupe,en:italy,en:luxembourg,en:martinique,en:new-caledonia,en:reunion,en:spain,en:switzerland",kcal,g,3033710065967,3.6,g,1634.0,fr,0.164,"nestle,nesquik",g,-13
Unknown,"Beverages and beverages preparations, Beverages, Waters, Spring waters, Mineral waters, Unsweetened beverages, Natural mineral waters","en:beverages,en:unsweetened-beverages",100g,Germany,"en:beverages-and-beverages-preparations,en:beverages,en:waters,en:spring-waters,en:mineral-waters,en:unsweetened-beverages,en:natural-mineral-waters",0.0,0.0,Unknown,a,0.0,-5,0.0,0.0,150.0,Unknown,en:unsweetened-beverages,0.0,Borsec,"Database - USDA NDB, Databases, App - yuka, Apps, App - El CoCo, App - InFood, App - smoothie-openfoodfacts",serving,Unknown,1,0,Unknown,not-applicable,0.0,Unknown,0,en:1-unprocessed-or-minimally-processed-foods,"en:france,en:romania,en:spain",Unknown,mg,5942219000059,0.0,Unknown,0.0,en,60.0,borsec,mg,-15
